,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
79648,0.4731,0.7864,0.6563,0.9739,0.9446,0.6339,0.5069,0.8215,1.627,0.5695,0.4284,0.4564,1.023,0.3336,0.2603,0.271,0.8871,0.8297
285,0.1241,0.09309,0.1243,0.3313,0.06512,0.07589,0.08846,0.3411,0.474,0.09281,0.1625,0.1642,0.1704,0.04093,0.05181,0,0.1596,0.163
100507530,0.1403,0.2863,0.1843,0.558,0.3219,0.02858,0.1296,0.1499,0.5206,0.1957,0.1836,0.1082,0.388,0.1079,0.1502,0.06259,0.3419,0.3222
102465861,0,0,0,2.067,0,0,0,0,1.479,0,0,0,0,0,0.5818,0,0,0.915
55326,1.661,2.076,3.006,2.481,1.441,0.6025,0.9812,3.247,5.474,1.203,1.075,1.384,2.455,1.011,0.4692,0.5702,2.238,2.902
100616348,1.192,1.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342,0
100616372,1.323,1.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489,0
107986909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008078,0,0,0
100652791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,0,0,0,0,0.4472,0,0,0,0,0,0
1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,2.468,0,1.73,1.878,1.208,0.6035,0,4.483,2.199,24.97,7.969,26.57,3.45,8.101,1.731,2.937,2.406,2.117
449491,0,0,0.8908,0,0,0,0,0,0.5032,3.192,0,1.177,0,0,0,0,0.3813,0
449492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,29.99,7.412,38.6,24.97,25.51,58.53,21.69,61.38,47.05,510.6,144.2,466.3,74.17,157.1,29.9,57.17,44.23,60.57
170949,0,0,0,0,0,0,0,0,0,0.2038,0,0,0.1701,0,0.2276,0,0,0.1789
728358,31.36,7.794,40.44,26.26,26.83,61.44,22.72,64.27,49.22,536.4,151.3,488.5,77.84,164.9,31.44,59.97,46.11,63.7
100287083,0,0,0,0,0,0,0,0,0,0.2038,0,0,0.1701,0,0.2276,0,0,0.1789
1668,31.8,8.2,14.23,22.24,27.04,15.76,11.13,37.56,26.6,170.8,50.4,163.4,26.18,58.98,22.89,45.72,27.31,23.69
724068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
