,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
IL10,0.1185,0.1037,0.4153,0.1845,0.1632,0,0.09852,0,0.264,0.2481,0.07757,0,0.3624,0.09116,0,0,0.4666,0.3267
IL10RA,35.76,59.48,54.56,54.16,54.08,51.43,31.75,73.95,126.2,44.9,24.52,30.69,51.17,22.89,24.92,29.95,72.58,45.21
IL10RB,104.1,60.29,57.33,88.72,78.2,30.91,25.18,74.65,139.9,102.4,39.44,74.45,75.51,42.3,33.09,84.92,109.9,95.16
IL10RB-DT,23.27,12.07,11.37,22.23,18.71,3.525,7.305,16.83,34.55,16.81,6.605,14.66,17.27,6.337,6.016,18.93,27.57,21.38
IL11,0,0,0,0,0.03728,0.02483,0,0.0651,0.06031,0.04251,0.02658,0,0,0.09373,0,0,0,0
IL11RA,5.398,10.83,13.17,13.29,13.12,4.756,5.514,11.54,13.36,4.542,5.092,6.003,12.34,6.758,5.659,9.826,12.21,8.122
IL12A,0.3344,0.3511,0.4102,0.2083,0.5526,0.4089,0.07414,0.3216,0.298,0.42,0.08756,0.07742,0.1169,0,0.03908,0.597,0.2258,0.2459
IL12A-AS1,0,0,0.0349,0,0,0,0,0,0,0,0.02607,0.0461,0,0,0,0,0,0
IL12B,0.04086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL12RB1,14.55,17.07,12.03,14.59,19.11,9.349,9.251,19.24,37.07,9.297,7.217,13.76,21.24,8.931,8.105,18,27.54,19.26
IL12RB2,0.5566,1.225,1.07,0.7082,0.989,0.7245,0.6568,0.921,3.04,0.4511,0.7639,0.5716,1.145,0.6078,0.2833,0.2244,0.9899,0.8415
