GSM5824838	GSM5824839	GSM5824847	GSM5824852	GSM5824855	GSM5824858	GSM5824868	GSM5824878	GSM5824885	GSM5824894	GSM5824904	GSM5824932	GSM5824943	GSM5824955	GSM5824967	GSM5824970	GSM5824979	GSM5824984
0.3003	0.4563	0.5955	0.6889	0.5223	0.3478	0.4205	0.7347	1.173	0.4136	0.1655	0.2561	0.6766	0.304	0.2401	0.2116	0.4801	0.4793
0	0.04431	0.04438	0.05256	0.2789	0	0.2526	0.1624	0.2256	0	0	0.05863	0.1327	0.03896	0	0	0.2279	0.1396
4.915	8.886	9.675	10.5	8.437	7.278	5.254	9.822	15.63	7.167	3.27	5.094	10.26	4.524	4.518	6.736	10.6	10.62
13.94	9.064	6.163	14.84	12.09	4.192	5.168	13.87	32.56	14.86	5.728	12.03	10.37	5.476	5.498	13.34	20.03	12.87
16.16	20.96	23.73	25.52	21.23	15.78	24.31	29.19	58.41	19.86	11.47	13.45	25.85	11.46	8.45	14.66	26.66	25.01
0	0	0	0	0	0	0.07384	0	0	0	0	0	0	0.06832	0	0	0.09992	0
1.067	1.377	2.906	1.688	1.29	1.622	1.485	1.585	2.202	2.355	2.546	2.01	1.977	2.051	1.246	1.73	1.463	2.486
0.1093	0	0	0	0	0	0.06056	0	0.08112	0	0	0	0	0	0	0	0	0
0.3283	0.4467	0.5433	0.1893	0.2009	0.9588	0.2224	1.052	1.083	0.3054	0.09549	0.2533	0.2549	0.1964	0.2131	0.06511	0.4514	0.2346
0	0.0103	0	0.01222	0	0	0.01305	0	0.06991	0	0	0	0.05141	0	0	0	0	0
0.7902	0.8065	1.539	1.458	1.29	0.161	0.438	1.759	2.021	1.379	0.6034	1.118	1.764	0.6417	0.7439	1.097	2.173	1.815
0.2145	0.1126	0.1504	0.08906	0.01969	0.07869	0.04756	0	0.1274	0.2919	0.02808	0.0745	0.05623	0.04951	0.07521	0.0383	0.1207	0.03943
32.97	31.05	34.54	53.95	33.93	14.86	20.11	40.94	91.3	53.79	20.66	37.34	44.21	23.12	18.17	49.4	59.15	44.97
0.5288	0.3598	0.4633	0.7927	0.6741	0.2694	0.2605	0.8475	1.047	0.8301	0.2115	0.391	0.3849	0.2938	0.1716	1.18	0.4957	0.6479
2.862	5.407	5.525	6.391	5.328	2.837	5.163	6.105	11.82	4.5	2.829	3.273	7.163	2.684	1.766	3.878	6.799	5.219
7.735	9.78	12.36	7.98	10.3	6.598	3.655	10.31	16.91	9.409	4.137	6.893	10.88	3.897	3.146	5.234	11.47	9.498
0.7804	1.179	2.839	0.4173	1.064	2.949	0.4063	2.616	3.441	1.559	0.6965	0.5201	1.178	0.6731	0.3869	0.9288	3.14	0.1956
5.332	6.23	6.334	9.434	6.931	3.435	3.53	7.227	10.73	7.941	3.841	5.261	7.597	3.276	3.429	6.005	8.253	8.254
0.1557	0.1362	0.04547	0.1077	0.1429	0.09518	0.2876	0.08319	0.3083	0.1086	0.1019	0.1802	0.3627	0	0.03032	0.09265	0.2919	0.2862
17.97	12.03	12.5	14.93	16.22	10.16	6.841	15.58	28.95	15.09	8.797	13.22	15.16	8.069	5.704	16.58	22.78	15.56
0.1123	0.1855	0.2186	0.4273	0.9505	0.2746	0.2904	0.5999	0.6669	0.1697	0.2368	0.1155	0.3161	0.1056	0.2624	0.1225	0.1825	0.172
1.066	1.04	1.006	1.447	1.091	1.855	1.159	0.8542	2.678	1.116	0.483	0.522	1.039	0.6307	0.6228	0.183	1.107	1.695
0.2066	0.1033	0.1034	0	0.08126	0	0	0.0946	0.3067	0.1853	0.1352	0.1879	0.232	0.0908	0	0	0.1328	0.1356
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01716
0	0.03157	0	0	0.03313	0	0	0	0	0	0	0	0	0.05553	0	0	0	0
2.017	4.047	3.923	4.124	2.967	1.613	2.383	4.943	6.605	4.19	1.281	1.682	3.083	1.346	1.369	4.473	4.838	3.515
0.8819	2.04	1.554	1.505	2.465	0.3055	1.379	1.571	3.07	0.8102	1.135	0.9981	2.003	0.995	0.4924	0.2361	1.632	1.333
0	0	0	0.06852	0	0	0	0	0	0	0	0	0	0.02539	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.108	3.329	3.105	4.01	3.546	2.202	2.447	4.004	6.944	3.192	1.711	1.967	3.324	1.207	0.8147	1.815	4.052	3.283
